1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66
Schluessel;Straftat;Fallstatus;Opfer insgesamt - Anzahl;Opfer insgesamt maennlich- Anzahl;Opfer insgesamt weiblich- Anzahl;Kinder bis unter 6 Jahre - Anzahl;Kinder bis unter 6 Jahre maennlich- Anzahl;Kinder bis unter 6 Jahre weiblich - Anzahl;Kinder 6 bis unter 8 Jahre Anzahl;Kinder 6 bis unter 8 Jahre maennlich - Anzahl;Kinder 6 bis unter 8 Jahre weiblich - Anzahl;Kinder 8 bis unter 10 Jahre - Anzahl;Kinder 8 bis unter 10 Jahre maennlich - Anzahl;Kinder 8 bis unter 10 Jahre weiblich - Anzahl;Kinder 10 bis unter 12 Jahre - Anzahl;Kinder 10 bis unter 12 Jahre maennlich- Anzahl;Kinder 10 bis unter 12 Jahre weiblich - Anzahl;Kinder 12 bis unter 14 Jahre - Anzahl;Kinder 12 bis unter 14 Jahre maennlich - Anzahl;Kinder 12 bis unter 14 Jahre weiblich - Anzahl;Kinder bis unter 14 Jahre insgesamt;Kinder bis unter 14 Jahre insgesamt maennlich;Kinder bis unter 14 Jahre insgesamt weiblich;Jugendliche 14 bis unter 16 Jahre - Anzahl;Jugendliche 14 bis unter 16 Jahre maennlich - Anzahl;Jugendliche 14 bis unter 16 Jahre weiblich - Anzahl;Jugendliche 16 bis unter 18 Jahre - Anzahl;Jugendliche 16 bis unter 18 Jahre maennlich - Anzahl;Jugendliche 16 bis unter 18 Jahre weiblich - Anzahl;Jugendliche 14 bis unter 18 Jahre insgesamt;Jugendliche 14 bis unter 18 Jahre insgesamt - maennlich;Jugendliche 14 bis unter 18 Jahre insgesamt - weiblich;Heranwachsende 18 bis unter 21 Jahre - Anzahl;Heranwachsende 18 bis unter 21 Jahre maennlich - Anzahl;Heranwachsende 18 bis unter 21 Jahre weiblich - Anzahl;Opfer insgesamt unter 21 Jahre;Opfer insgesamt unter 21 Jahre - maennlich;Opfer insgesamt unter 21 Jahre - weiblich;Erwachsene 21 bis unter 23 Jahre - Anzahl;Erwachsene 21 bis unter 23 Jahre maennlich - Anzahl;Erwachsene 21 bis unter 23 Jahre weiblich - Anzahl;Erwachsene 23 bis unter 25 Jahre - Anzahl;Erwachsene 23 bis unter 25 Jahre maennlich- Anzahl;Erwachsene 23 bis unter 25 Jahre weiblich - Anzahl;Erwachsene 21 bis unter 25 Jahre;Erwachsene 21 bis unter 25 Jahre - maennlich;Erwachsene 21 bis unter 25 Jahre - weiblich;Erwachsene 25 bis unter 30 Jahre;Erwachsene 25 bis unter 30 Jahre - maennlich;Erwachsene 25 bis unter 30 Jahre - weiblich;Erwachsene 30 bis unter 40 Jahre;Erwachsene 30 bis unter 40 Jahre - maennlich;Erwachsene 30 bis unter 40 Jahre - weiblich;Erwachsene 40 bis unter 50 Jahre;Erwachsene 40 bis unter 50 Jahre - maennlich;Erwachsene 40 bis unter 50 Jahre - weiblich;Erwachsene 50 bis unter 60 Jahre;Erwachsene 50 bis unter 60 Jahre - maennlich;Erwachsene 50 bis unter 60 Jahre - weiblich;Erwachsene 60 Jahre und aelter;Erwachsene 60 Jahre und aelter - maennlich;Erwachsene 60 Jahre und aelter - weiblich;Erwachsene ab 21 Jahre;Erwachsene ab 21 Jahre - maennlich;Erwachsene ab 21 Jahre - weiblich
------;Straftaten insgesamt;voll.;916,685;529,461;387,224;10,666;5,641;5,025;5,967;3,158;2,809;8,584;4,836;3,748;15,234;8,621;6,613;27,127;13,002;14,125;67,578;35,258;32,320;31,119;16,242;14,877;37,031;20,431;16,600;68,150;36,673;31,477;66,693;37,506;29,187;202,421;109,437;92,984;48,593;28,192;20,401;50,610;29,970;20,640;99,203;58,162;41,041;117,441;70,773;46,668;200,897;116,561;84,336;129,715;74,389;55,326;98,817;60,665;38,152;68,191;39,474;28,717;714,264;420,024;294,240
------;Straftaten insgesamt;vers.;69,105;43,826;25,279;702;398;304;344;167;177;553;308;245;1,035;630;405;1,719;927;792;4,353;2,430;1,923;2,270;1,299;971;2,740;1,726;1,014;5,010;3,025;1,985;4,574;2,956;1,618;13,937;8,411;5,526;3,142;2,046;1,096;3,223;2,102;1,121;6,365;4,148;2,217;7,860;5,126;2,734;14,646;9,586;5,060;10,292;6,603;3,689;8,849;5,757;3,092;7,156;4,195;2,961;55,168;35,415;19,753
------;Straftaten insgesamt;insg.;985,790;573,287;412,503;11,368;6,039;5,329;6,311;3,325;2,986;9,137;5,144;3,993;16,269;9,251;7,018;28,846;13,929;14,917;71,931;37,688;34,243;33,389;17,541;15,848;39,771;22,157;17,614;73,160;39,698;33,462;71,267;40,462;30,805;216,358;117,848;98,510;51,735;30,238;21,497;53,833;32,072;21,761;105,568;62,310;43,258;125,301;75,899;49,402;215,543;126,147;89,396;140,007;80,992;59,015;107,666;66,422;41,244;75,347;43,669;31,678;769,432;455,439;313,993
10000;Mord § 211 StGB;voll.;257;115;142;19;8;11;4;1;3;4;4;0;1;0;1;2;2;0;30;15;15;4;2;2;5;1;4;9;3;6;8;5;3;47;23;24;4;2;2;11;5;6;15;7;8;18;12;6;36;15;21;33;14;19;39;20;19;69;24;45;210;92;118
10000;Mord § 211 StGB;vers.;668;443;225;17;8;9;5;2;3;1;1;0;4;3;1;4;3;1;31;17;14;5;2;3;18;15;3;23;17;6;28;18;10;82;52;30;26;19;7;40;28;12;66;47;19;86;61;25;138;97;41;97;63;34;94;56;38;105;67;38;586;391;195
10000;Mord § 211 StGB;insg.;925;558;367;36;16;20;9;3;6;5;5;0;5;3;2;6;5;1;61;32;29;9;4;5;23;16;7;32;20;12;36;23;13;129;75;54;30;21;9;51;33;18;81;54;27;104;73;31;174;112;62;130;77;53;133;76;57;174;91;83;796;483;313
10079;Sonstiger Mord;voll.;228;105;123;18;7;11;3;1;2;4;4;0;1;0;1;2;2;0;28;14;14;4;2;2;4;1;3;8;3;5;7;5;2;43;22;21;3;2;1;10;5;5;13;7;6;16;10;6;33;15;18;32;14;18;36;18;18;55;19;36;185;83;102
10079;Sonstiger Mord;vers.;650;431;219;17;8;9;4;2;2;1;1;0;4;3;1;4;3;1;30;17;13;5;2;3;17;14;3;22;16;6;28;18;10;80;51;29;25;19;6;40;28;12;65;47;18;83;58;25;134;94;40;97;63;34;89;52;37;102;66;36;570;380;190
10079;Sonstiger Mord;insg.;878;536;342;35;15;20;7;3;4;5;5;0;5;3;2;6;5;1;58;31;27;9;4;5;21;15;6;30;19;11;35;23;12;123;73;50;28;21;7;50;33;17;78;54;24;99;68;31;167;109;58;129;77;52;125;70;55;157;85;72;755;463;292
