1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27
Schluessel;Straftat;Fallstatus;Opfer insgesamt - Anzahl;Opfer insgesamt maennlich- Anzahl;Opfer insgesamt weiblich- Anzahl;Erwachsene ab 21 Jahre;Erwachsene ab 21 Jahre - maennlich;Erwachsene ab 21 Jahre - weiblich;Erwachsene ab 60 Jahre insgesamt;Erwachsene ab 60 Jahre - maennlich;Erwachsene ab 60 Jahre - weiblich;Erwachsene 60 bis unter 65 Jahre - insgesamt;Erwachsene 60 bis unter 65 Jahre - maennlich;Erwachsene 60 bis unter 65 Jahre - weiblich;Erwachsene 65 bis unter 70 Jahre - insgesamt;Erwachsene 65 bis unter 70 Jahre - maennlich;Erwachsene 65 bis unter 70 Jahre - weiblich;Erwachsene 70 bis unter 75 Jahre - insgesamt;Erwachsene 70 bis unter 75 Jahre - maennlich;Erwachsene 70 bis unter 75 Jahre - weiblich;Erwachsene 75 bis unter 80 Jahre - insgesamt;Erwachsene 75 bis unter 80 Jahre - maennlich;Erwachsene 75 bis unter 80 Jahre - weiblich;Erwachsene 80 Jahre und aelter;Erwachsene 80 Jahre und aelter - maennlich;Erwachsene 80 Jahre und aelter - weiblich
------;Straftaten insgesamt;voll.;916,685;529,461;387,224;714,264;420,024;294,240;68,191;39,474;28,717;27,590;17,118;10,472;15,922;9,607;6,315;9,897;5,712;4,185;6,322;3,416;2,906;8,460;3,621;4,839
------;Straftaten insgesamt;vers.;69,105;43,826;25,279;55,168;35,415;19,753;7,156;4,195;2,961;2,661;1,739;922;1,476;914;562;950;560;390;610;343;267;1,459;639;820
------;Straftaten insgesamt;insg.;985,790;573,287;412,503;769,432;455,439;313,993;75,347;43,669;31,678;30,251;18,857;11,394;17,398;10,521;6,877;10,847;6,272;4,575;6,932;3,759;3,173;9,919;4,260;5,659
10000;Mord § 211 StGB;voll.;257;115;142;210;92;118;69;24;45;14;5;9;10;3;7;13;7;6;10;3;7;22;6;16
10000;Mord § 211 StGB;vers.;668;443;225;586;391;195;105;67;38;34;26;8;21;15;6;15;9;6;10;5;5;25;12;13
10000;Mord § 211 StGB;insg.;925;558;367;796;483;313;174;91;83;48;31;17;31;18;13;28;16;12;20;8;12;47;18;29
10079;Sonstiger Mord;voll.;228;105;123;185;83;102;55;19;36;10;4;6;7;2;5;12;6;6;7;2;5;19;5;14
10079;Sonstiger Mord;vers.;650;431;219;570;380;190;102;66;36;34;26;8;21;15;6;15;9;6;9;5;4;23;11;12
10079;Sonstiger Mord;insg.;878;536;342;755;463;292;157;85;72;44;30;14;28;17;11;27;15;12;16;7;9;42;16;26
11000;Mord im Zusammenhang mit Raubdelikten;voll.;20;9;11;20;9;11;12;5;7;3;1;2;3;1;2;1;1;0;2;1;1;3;1;2
11000;Mord im Zusammenhang mit Raubdelikten;vers.;16;12;4;15;11;4;3;1;2;0;0;0;0;0;0;0;0;0;1;0;1;2;1;1
11000;Mord im Zusammenhang mit Raubdelikten;insg.;36;21;15;35;20;15;15;6;9;3;1;2;3;1;2;1;1;0;3;1;2;5;2;3
12000;Mord im Zusammenhang mit Sexualdelikten;voll.;9;1;8;5;0;5;2;0;2;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0
12000;Mord im Zusammenhang mit Sexualdelikten;vers.;2;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12000;Mord im Zusammenhang mit Sexualdelikten;insg.;11;1;10;6;0;6;2;0;2;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;voll.;364;195;169;302;163;139;131;53;78;17;9;8;19;14;5;8;3;5;23;7;16;64;20;44
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;vers.;1,347;1,037;310;1,131;862;269;128;71;57;38;28;10;27;15;12;23;12;11;10;3;7;30;13;17
20000;Totschlag und Tötung auf Verlangen §§ 212, 213, 216 StGB;insg.;1,711;1,232;479;1,433;1,025;408;259;124;135;55;37;18;46;29;17;31;15;16;33;10;23;94;33;61
20010;Totschlag § 212 StGB;voll.;348;192;156;286;160;126;115;50;65;14;8;6;19;14;5;8;3;5;20;7;13;54;18;36
20010;Totschlag § 212 StGB;vers.;1,340;1,036;304;1,124;861;263;125;71;54;38;28;10;26;15;11;23;12;11;10;3;7;28;13;15
20010;Totschlag § 212 StGB;insg.;1,688;1,228;460;1,410;1,021;389;240;121;119;52;36;16;45;29;16;31;15;16;30;10;20;82;31;51
20020;Minder schwerer Totschlag § 213 StGB;voll.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20020;Minder schwerer Totschlag § 213 StGB;vers.;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20020;Minder schwerer Totschlag § 213 StGB;insg.;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20030;Tötung auf Verlangen § 216 StGB;voll.;16;3;13;16;3;13;16;3;13;3;1;2;0;0;0;0;0;0;3;0;3;10;2;8
20030;Tötung auf Verlangen § 216 StGB;vers.;6;1;5;6;1;5;3;0;3;0;0;0;1;0;1;0;0;0;0;0;0;2;0;2
20030;Tötung auf Verlangen § 216 StGB;insg.;22;4;18;22;4;18;19;3;16;3;1;2;1;0;1;0;0;0;3;0;3;12;2;10
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;voll.;815;475;340;736;430;306;495;256;239;64;44;20;70;49;21;72;43;29;67;36;31;222;84;138
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;vers.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30000;Fahrlässige Tötung § 222 StGB - nicht i.V.m. Verkehrsunfall -;insg.;815;475;340;736;430;306;495;256;239;64;44;20;70;49;21;72;43;29;67;36;31;222;84;138
110000;Straftaten gegen die sexuelle Selbstbestimmung §§ 174, 174a, 174b, 174c, 177, 178, 184i, 184j StGB;voll.;29,280;2,297;26,983;15,163;1,179;13,984;778;72;706;274;26;248;134;18;116;103;10;93;78;3;75;189;15;174
110000;Straftaten gegen die sexuelle Selbstbestimmung §§ 174, 174a, 174b, 174c, 177, 178, 184i, 184j StGB;vers.;1,690;122;1,568;1,037;66;971;53;5;48;10;0;10;12;2;10;14;0;14;6;1;5;11;2;9
110000;Straftaten gegen die sexuelle Selbstbestimmung §§ 174, 174a, 174b, 174c, 177, 178, 184i, 184j StGB;insg.;30,970;2,419;28,551;16,200;1,245;14,955;831;77;754;284;26;258;146;20;126;117;10;107;84;4;80;200;17;183
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;voll.;9,166;555;8,611;5,082;340;4,742;178;10;168;61;3;58;28;2;26;25;2;23;14;0;14;50;3;47
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;vers.;820;44;776;533;30;503;23;2;21;4;0;4;3;0;3;7;0;7;4;1;3;5;1;4
111000;Vergewaltigung, sexuelle Nötigung und sexueller Übergriff im besonders schweren Fall einschl. mit Todesfolge §§ 177, 178 StGB;insg.;9,986;599;9,387;5,615;370;5,245;201;12;189;65;3;62;31;2;29;32;2;30;18;1;17;55;4;51
111700;Vergewaltigung § 177 Abs. 6, 7, 8 StGB;voll.;8,550;493;8,057;4,725;304;4,421;147;7;140;56;3;53;25;2;23;23;0;23;12;0;12;31;2;29
111700;Vergewaltigung § 177 Abs. 6, 7, 8 StGB;vers.;758;38;720;492;27;465;22;2;20;4;0;4;3;0;3;7;0;7;4;1;3;4;1;3
